Filename,Code (%),Whitespace (%),Comments (%),Avg Variable Name Length,Avg Method Name Length,Avg Lines per Method,Total Cyclomatic Complexity,Avg Cyclomatic Complexity,Human/AI Generated
AndroidAutoUpdate-master_combined.java,92.73504273504274,6.837606837606838,0.4273504273504274,13.19047619047619,10.37037037037037,4.6,24,2.6666666666666665,0
spinney-master_combined.java,57.59368836291914,14.595660749506903,27.810650887573964,8.0,20.098591549295776,4.016666666666667,95,1.484375,0
library-app-master_combined.java,66.66666666666666,27.053140096618357,6.280193236714976,23.444444444444443,19.666666666666668,5.555555555555555,12,1.2,0
EasyGo-Admin-master_combined.java,77.10633352701917,22.138291690877395,0.7553747821034282,8.31578947368421,17.949367088607595,4.550387596899225,118,1.2826086956521738,0
Deals-Mash-master_combined.java,76.32719393282773,16.30552546045504,7.367280606717226,7.333333333333333,20.989690721649485,5.404255319148936,151,1.6593406593406594,0
mapversity-master_combined.java,30.6480920654149,1.2356147789218654,68.11629315566323,32.60748106060606,8.493589743589743,1.891025641025641,161,1.0320512820512822,0
CoffeeApp-master_combined.java,67.27272727272727,17.575757575757574,15.151515151515152,10.25,16.125,7.625,16,2.0,0
AndroidBluetoothChatApp-master_combined.java,46.2655601659751,27.178423236514522,26.556016597510375,11.181818181818182,14.636363636363637,9.7,25,2.7777777777777777,0
EnglishDictonary-master_combined.java,69.96726677577742,27.086743044189852,2.9459901800327333,8.512195121951219,19.627450980392158,4.826086956521739,97,1.7636363636363637,0
2048Game-main_combined.java,79.11439114391145,15.276752767527677,5.608856088560885,6.833333333333333,15.771428571428572,5.573099415204679,389,2.3433734939759034,0
Blood-Point-App-master_combined.java,81.28407026044822,17.383403997577226,1.3325257419745609,12.75257731958763,17.608333333333334,5.36144578313253,117,2.2941176470588234,0
move-files-master_combined.java,21.45922746781116,19.527896995708154,59.01287553648069,7.2,0,0,67,2.310344827586207,0
basic-ecomerce-system-app-master_combined.java,61.22650840751731,17.672271678206396,21.101219914276296,8.584615384615384,16.01255230125523,4.202830188679245,353,1.4233870967741935,0
ThemeSample-master_combined.java,73.30316742081448,21.71945701357466,4.97737556561086,8.8,17.0,5.8,18,2.25,0
Tablesono-master_combined.java,69.30232558139535,19.069767441860467,11.627906976744185,8.266666666666667,22.736842105263158,4.894736842105263,28,1.4736842105263157,0
Unrevelea-master_combined.java,78.06451612903226,19.56989247311828,2.3655913978494625,12.192307692307692,21.708333333333332,8.416666666666666,33,1.32,0
Anti-Theft-App-main_combined.java,71.66888003541389,17.83975210270031,10.49136786188579,6.532786885245901,18.576470588235296,6.065789473684211,275,3.021978021978022,0
ImageBox-master_combined.java,81.02345415778251,15.458422174840086,3.518123667377399,7.05,17.02777777777778,5.380952380952381,95,1.7592592592592593,0
Small-Android-Apps-master_combined.java,74.21100090171325,16.952209197475206,8.836789900811542,8.858823529411765,17.571428571428573,5.32258064516129,107,2.14,0
Laundry-App-UI-main_combined.java,75.91933570581257,21.233689205219456,2.8469750889679712,6.214285714285714,17.438356164383563,4.76056338028169,87,1.1756756756756757,0
Textchat-master_combined.java,19.162494310423305,21.574874829312698,59.262630860264,11.5,19.0625,4.695652173913044,204,1.728813559322034,0
weather-forecast-android-master_combined.java,79.5006570302234,19.754708716600963,0.7446342531756461,11.037735849056604,19.419354838709676,3.6198347107438016,302,1.2479338842975207,0
Android-Application-master_combined.java,42.661391488951075,22.001350960146677,35.337257550902244,26.85821294810059,17.223350253807105,5.934782608695652,403,1.900943396226415,0
Android-Chat-App-main_combined.java,67.80989710926016,30.67123958843704,1.5188633023027927,6.6415094339622645,17.65546218487395,5.0625,132,1.7837837837837838,0
Ecommerce-Android-App-master_combined.java,76.80566911965113,18.288361951485417,4.905968928863451,9.336683417085426,18.166320166320165,5.049886621315193,687,1.627962085308057,0
ScoreBoard-master_combined.java,77.27272727272727,16.477272727272727,6.25,11.2,14.071428571428571,4.384615384615385,13,1.8571428571428572,0
Birthday-Application-master_combined.java,87.5598086124402,11.004784688995215,1.4354066985645932,10.095238095238095,13.846153846153847,4.433962264150943,47,1.3428571428571427,0
Elegant_Calculator-master_combined.java,86.81318681318682,9.89010989010989,3.296703296703297,7.75,13.0,6.071428571428571,43,4.777777777777778,0
Superheroes-master_combined.java,81.53153153153153,15.99099099099099,2.4774774774774775,31.214285714285715,16.2,5.3076923076923075,40,1.0526315789473684,0
ChatApp-master_combined.java,80.7153965785381,17.573872472783826,1.7107309486780715,10.117647058823529,15.906976744186046,5.8604651162790695,68,1.5454545454545454,0
Multiple_Screens_App_JAVA-master_combined.java,66.93548387096774,24.193548387096776,8.870967741935484,6.8,16.0,6.4,5,1.0,0
Spoonacular-Recipe-main_combined.java,77.64705882352942,20.33613445378151,2.0168067226890756,6.0,13.754716981132075,4.217391304347826,53,1.2325581395348837,0
Hotel-Reservation-Application-main_combined.java,82.28730822873082,12.245467224546722,5.467224546722455,9.436363636363636,18.422794117647058,4.364806866952789,389,1.760180995475113,0
GroceryFinder-master_combined.java,77.05192629815745,19.765494137353436,3.1825795644891124,9.02,19.633333333333333,6.08,59,2.269230769230769,0
CountdownTimer-master_combined.java,77.24928366762178,20.2865329512894,2.464183381088825,9.130081300813009,19.511111111111113,5.217741935483871,196,1.6198347107438016,0
AAHAR-APP-master_combined.java,81.65422885572139,15.796019900497512,2.5497512437810945,7.8936170212765955,18.02061855670103,5.8352941176470585,141,2.3114754098360657,0
Video-Trimmer-Android-master_combined.java,48.20276497695852,16.63594470046083,35.16129032258065,6.492063492063492,16.453488372093023,5.451219512195122,306,2.914285714285714,0
AppBittrexAnalizer-master_combined.java,64.30758463826437,27.52165164902458,8.170763712711048,7.783333333333333,16.897058823529413,5.265938069216758,1204,2.1851179673321233,0
Easy-Attendance-App-main_combined.java,74.52934662236987,24.695459579180508,0.7751937984496124,8.435897435897436,18.225806451612904,5.180952380952381,127,1.4269662921348314,0
Flashlight_ImageButton_App_JAVA-master_combined.java,70.10309278350515,16.49484536082474,13.402061855670103,17.4,15.5,5.0,6,2.0,0
DroidCafe-master_combined.java,78.18181818181819,17.87878787878788,3.939393939393939,7.428571428571429,18.130434782608695,7.285714285714286,52,2.6,0
Tic-Tac-Toe-Games-main_combined.java,82.35294117647058,12.254901960784313,5.392156862745098,4.076923076923077,14.466666666666667,5.2,38,2.923076923076923,0
PopularMovies-master_combined.java,64.78650500790722,21.40221402214022,13.811280969952557,11.605095541401274,21.2680412371134,5.130434782608695,157,1.6020408163265305,0
Cryptography-App-master_combined.java,16.109422492401215,26.13981762917933,57.75075987841946,12.25,13.5,3.6666666666666665,18,1.2,0
userRegistrationForm-master_combined.java,86.23188405797102,11.594202898550725,2.1739130434782608,12.11111111111111,22.2,5.25,10,10.0,0
Android-Library-Management-master_combined.java,54.121863799283155,21.935483870967744,23.9426523297491,10.58695652173913,16.890625,5.648148148148148,113,1.9482758620689655,0
Space-Impact-Game-master_combined.java,71.26436781609196,9.540229885057471,19.195402298850574,6.536585365853658,12.126984126984127,4.898305084745763,86,1.5925925925925926,0
adBlock-master_combined.java,62.14165261382799,6.239460370994941,31.618887015177066,4.387755102040816,14.272727272727273,9.0,136,5.230769230769231,0
automator-master_combined.java,80.6317139650473,17.011383678050347,2.356902356902357,6.821316614420063,19.754820936639117,6.134751773049645,499,2.9880239520958085,0
Attendance-App-master_combined.java,74.72527472527473,20.32967032967033,4.945054945054945,5.892857142857143,17.26086956521739,5.0,32,1.6842105263157894,0
MoneroMiner-1-master_combined.java,62.5,20.147058823529413,17.352941176470587,6.805555555555555,17.0,6.161290322580645,68,2.193548387096774,0
Bisto-Chat-Java-PHP-main_combined.java,77.5503355704698,18.892617449664428,3.557046979865772,16.052380952380954,17.735294117647058,5.0397727272727275,245,1.5408805031446542,0
Shopping-App-Android-Native-Java-main_combined.java,79.69518190757128,17.748279252704034,2.55653883972468,6.931216931216931,16.25984251968504,5.939130434782609,171,1.7272727272727273,0
android-sqlite-toolbox-master_combined.java,64.68842729970326,16.320474777448073,18.991097922848667,5.23,18.109756097560975,5.215189873417722,234,1.9663865546218486,0
Aplikasi-Resep-Android-Happy-Cooking-master_combined.java,73.59198998748435,20.275344180225282,6.132665832290362,5.826086956521739,15.55813953488372,6.621621621621622,57,1.8387096774193548,0
TruthDare-master_combined.java,74.66887417218543,22.185430463576157,3.145695364238411,6.161290322580645,18.29268292682927,5.361111111111111,43,1.4827586206896552,0
Branch-Memo-Beta-master_combined.java,72.87340924313462,17.4146014735432,9.71198928332217,6.828947368421052,18.8125,3.8,154,1.2833333333333334,0
Movie-App-main_combined.java,72.51082251082252,21.428571428571427,6.0606060606060606,7.166666666666667,19.275862068965516,4.653846153846154,30,1.25,0
GroceryShop-master_combined.java,51.295196977873715,19.104155423637344,29.600647598488937,10.14410480349345,22.428571428571427,5.150943396226415,318,1.8381502890173411,0
Mirror-main_combined.java,68.15718157181571,14.092140921409213,17.750677506775066,9.604651162790697,21.195121951219512,5.945945945945946,72,1.6363636363636365,0
flexible-switch-main_combined.java,82.40302743614002,15.32639545884579,2.270577105014191,9.444444444444445,20.618181818181817,5.8431372549019605,109,2.8684210526315788,0
English-Arabic-Dictionary-Android-App-main_combined.java,79.81072555205047,13.880126182965299,6.309148264984227,19.714285714285715,18.705882352941178,9.470588235294118,21,1.105263157894737,0
Currency-Converter-on-Android-master_combined.java,79.62962962962963,16.296296296296298,4.074074074074074,10.727272727272727,20.47826086956522,4.235294117647059,10,1.6666666666666667,0
LearnAndroid-master_combined.java,86.5951844926928,12.199030793299501,1.2057847140077078,13.538564721663313,18.70109546165884,5.207619047619048,1237,1.8545727136431784,0
cointrade-master_combined.java,74.92635024549918,20.098199672667757,4.975450081833061,8.130718954248366,16.72463768115942,6.440677966101695,308,1.811764705882353,0
WatchNotificationGenerator-master_combined.java,71.24352331606218,25.0,3.756476683937824,11.851851851851851,19.784313725490197,4.6976744186046515,60,1.1538461538461537,0
Smart-Money-App-master_combined.java,73.27994175464143,24.244630506006555,2.4754277393520203,9.068965517241379,18.374269005847953,4.841726618705036,166,1.6274509803921569,0
BooksProjects-master_combined.java,74.85286249331193,22.953451043338685,2.1936864633493847,8.898876404494382,18.170068027210885,4.473282442748092,186,1.617391304347826,0
FeedZie-Food-Donation-App-main_combined.java,0.0,100.0,0.0,0,0,0,0,0,0
anagrams-master_combined.java,74.24749163879598,12.040133779264215,13.712374581939798,7.71875,20.3,7.7,36,2.769230769230769,0
PlanMyJourney-master_combined.java,76.7840593141798,16.867469879518072,6.348470806302132,10.77037037037037,16.624,5.766990291262136,190,2.0652173913043477,0
MyVPN-master_combined.java,56.69395299709533,17.697385793504093,25.60866120940058,8.672936259143155,18.337552742616033,5.487987987987988,2779,2.711219512195122,0
voxRec-master_combined.java,76.03550295857988,20.710059171597635,3.2544378698224854,9.333333333333334,14.86111111111111,3.933333333333333,51,1.7586206896551724,0
Web-Browser-master_combined.java,77.52293577981652,16.055045871559635,6.422018348623854,15.333333333333334,16.0625,4.857142857142857,27,3.0,0
DarkTheme-master_combined.java,66.66666666666666,30.701754385964914,2.631578947368421,5.5,22.333333333333332,5.333333333333333,9,1.5,0
sixteen-personalities-master_combined.java,70.23809523809523,20.238095238095237,9.523809523809524,7.0,21.666666666666668,4.555555555555555,10,1.1111111111111112,0
Study_Partner-master_combined.java,79.93514052885415,18.50157991019458,1.5632795609512722,11.125133689839572,17.898470097357443,5.483498349834983,1424,4.127536231884058,0
Soils-master_combined.java,73.54306343476019,16.60649819494585,9.850438370293967,8.596774193548388,15.723880597014926,4.950819672131147,164,1.6237623762376239,0
Medicine-Time-Android-App-Project-master_combined.java,59.367681498829036,23.51288056206089,17.11943793911007,8.527027027027026,20.308823529411764,4.357976653696498,464,1.5163398692810457,0
Mi-Calculator-Clone-master_combined.java,80.18134715025906,16.06217616580311,3.756476683937824,18.22222222222222,15.0,5.8,103,5.722222222222222,0
ColorPalettefromImage-master_combined.java,77.92642140468227,17.391304347826086,4.682274247491638,5.851851851851852,15.954545454545455,5.294117647058823,24,1.7142857142857142,0
SlideToGlitch-master_combined.java,81.15942028985508,16.485507246376812,2.355072463768116,8.72,16.666666666666668,6.62962962962963,62,2.2142857142857144,0
TrackPhoneAndroid-master_combined.java,68.40958605664488,17.86492374727669,13.725490196078432,7.774193548387097,17.22222222222222,5.7727272727272725,37,1.7619047619047619,0
WeatherApp-Android-master_combined.java,80.57851239669421,16.115702479338843,3.3057851239669422,9.88888888888889,18.454545454545453,7.0476190476190474,92,2.1904761904761907,0
JKSLinks-master_combined.java,67.0,22.0,11.0,7.428571428571429,16.666666666666668,3.6666666666666665,9,1.0,0
sms-spam-filter-android-main_combined.java,73.10606060606061,20.075757575757574,6.8181818181818175,9.565217391304348,18.848484848484848,4.733333333333333,48,1.7777777777777777,0
github-api-android-master_combined.java,82.24030636668263,17.360778681985,0.3989149513323759,8.02803738317757,16.410810810810812,4.216110019646365,768,1.5298804780876494,0
MyCamera-master_combined.java,79.91452991452992,14.957264957264957,5.128205128205128,7.2105263157894735,17.275862068965516,6.172413793103448,54,2.16,0
Usage-Tracking-App-master_combined.java,62.01298701298701,18.506493506493506,19.480519480519483,11.210526315789474,12.307692307692308,3.5833333333333335,31,1.8235294117647058,0
Barcode-Scanner-App-master_combined.java,73.26388888888889,16.666666666666664,10.069444444444445,7.6875,14.933333333333334,5.923076923076923,17,1.8888888888888888,0
V_Note-master_combined.java,79.15904936014626,18.82998171846435,2.010968921389397,6.7105263157894735,18.41304347826087,5.466666666666667,63,1.3404255319148937,0
BloodBank-master_combined.java,74.85667485667486,21.416871416871416,3.7264537264537267,7.5636363636363635,16.571428571428573,4.9411764705882355,192,1.8285714285714285,0
CalculatorApp-Android-master_combined.java,71.62162162162163,15.765765765765765,12.612612612612612,5.545454545454546,15.777777777777779,6.111111111111111,29,3.2222222222222223,0
Social-Media-App-ReachMe--master_combined.java,75.69736339319832,21.283912877340466,3.0187237294612155,6.930232558139535,18.08936170212766,4.252688172043011,183,1.2708333333333333,0
NewsApp-main_combined.java,73.73626373626374,24.175824175824175,2.0879120879120876,9.318181818181818,20.06578947368421,4.458333333333333,88,1.2941176470588236,0
Multi-Calculator-Android-master_combined.java,79.05991138508958,14.120593334617606,6.819495280292815,8.32857142857143,19.03231939163498,5.421686746987952,1405,3.1361607142857144,0
Amivents-master_combined.java,79.19169852539596,18.896777717094484,1.9115237575095576,11.243243243243244,15.391304347826088,6.045454545454546,181,3.7708333333333335,0
Tripcount-master_combined.java,70.67983289023927,15.91340676034941,13.406760349411318,11.087179487179487,17.171641791044777,6.3277310924369745,262,2.3392857142857144,0
My_Companion-master_combined.java,76.7337807606264,16.10738255033557,7.158836689038031,6.5,16.095238095238095,5.3076923076923075,31,1.9375,0
AndroidMySMS-master_combined.java,70.39473684210526,17.763157894736842,11.842105263157894,8.857142857142858,14.571428571428571,5.6,10,2.0,0
